group,feature,label,n,auc,dir,mi,d
Window (1s),Speed_ms_absmax_1s,rule_hard_brake,1372369,0.6118653385338574,+,0.0021490334981923986,0.4237633493289846
Window (1s),Speed_ms_absmax_1s,rule_anomalous_stop,1372369,0.9840744147178304,-,0.004756201272159921,-1.9519009747406968
Window (1s),Speed_ms_absmax_1s,rule_path_deviation,1372369,0.5779271629941416,-,0.0009091584635816385,-0.267216867138911
Window (1s),Speed_ms_absmax_1s,rule_close_conflict,1372369,0.5148269214867586,+,0.0005729529293755364,0.024795514896290297
Window (1s),Speed_ms_absmax_1s,rule_any,1372369,0.5274106741999679,+,0.002531152966632755,0.10191159072913818
Window (1s),acceleration_ms2_mean_1s,rule_hard_brake,1289089,0.9004894822738123,-,0.03226099952027783,-1.1973320693824485
Window (1s),acceleration_ms2_mean_1s,rule_anomalous_stop,1289089,0.5354458687204561,-,0.0005617227869303409,-0.006018929510885361
Window (1s),acceleration_ms2_mean_1s,rule_path_deviation,1289089,0.5820119751366861,+,0.0007882741202800414,0.126281734749052
Window (1s),acceleration_ms2_mean_1s,rule_close_conflict,1289089,0.9160181322511469,-,0.0028804041298603478,-1.0734897122031872
Window (1s),acceleration_ms2_mean_1s,rule_any,1289089,0.7790761002726098,-,0.026495316987972695,-0.8478460614311307
Window (1s),acceleration_ms2_std_1s,rule_hard_brake,1289089,0.7784651636130042,+,0.010071497318016043,0.6376104666275185
Window (1s),acceleration_ms2_std_1s,rule_anomalous_stop,1289089,0.7348855366784842,-,0.0,-0.4349285951339536
Window (1s),acceleration_ms2_std_1s,rule_path_deviation,1289089,0.5422044639310941,+,0.0014589046841497755,0.09392986647062568
Window (1s),acceleration_ms2_std_1s,rule_close_conflict,1289089,0.7334475149427525,+,0.0011680124594003471,0.17829395019621552
Window (1s),acceleration_ms2_std_1s,rule_any,1289089,0.6949192381095158,+,0.008817649179143627,0.4496474884859446
Window (1s),acceleration_ms2_absmax_1s,rule_hard_brake,1289089,0.8526140090231478,+,0.025003803427409266,0.8590961136846059
